# Licence Number | Name | Branch | Trustee 1 | Trustee 2 | Note

# 6M Repeaters
177319,Wharite National System Linking,74,ZL2SJ,ZL1RKW,
177322,Wharite National System Linking,74,ZL2SJ,ZL1RKW,
232974,Westoprt National System,62,,,
177648,"Waitomo National System Link",,,,
177298,"Bay of Islands National System Link",,,,
177295,"Bay of Islands National System Link",,,,
417454,Raetihi National System,,,,
417453,Raetihi National System Link,,,,
412519,Taumarunui National System,,,,
412521,Taumarunui National System Link,,,,

# 2M DMR Repeaters
293303,Tasman DMR,74,ZL4JY,ZL2SJ,

# 70CM DMR Repeaters
253000,Porirua DMR,74,ZL2SJ,ZL4JY,Central Master
246799,Wairarapa DMR,46,ZL2OA,,
292152,Kapiti DMR,69,ZL2GO,ZL2DB,
248901,Hamilton DMR,81,ZL1THG,,
250794,Wellington DMR,74,ZL2SJ,ZL4JY,
248897,Dunedin DMR,30,ZL4JH,,
251251,Auckland DMR,66,ZL1JD,,
249985,Tasman DMR,24,ZL2ASF,,
249599,Manawatu DMR,20,ZL21FX,,
252921,Christchurch DMR,05,ZL3VP,,Midland Master
272752,Hawkes Bay DMR,13,ZL2DW,,
263532,Oamaru DMR,64,ZL4SN,,
266963,Tauranga DMR,88,ZL1WIN,,
295454,Taupo DMR,74,ZL2SJ,ZL1KU,
292436, Kapiti Brandmiester DMR,69,ZL2GO,ZL4VV,Brandmeister Master

# 33cm DMR
289712,Porirua DMR,74,ZL4JY,ZL2SJ,
290324,Mt Victoria DMR,74,ZL2BRF,ZL3TC,

# 33cm ATV
291138,33cm Maungaraki ATV,,ZL2TAR,,Under Test

# 23CM Repeaters
177977,"Mt Victoria",74,"ZL3TC","ZL4JY",
169950,"Auckland",66,"ZL1TGC","ZL1JD",
225540,Climie,63,ZL2BRG,ZL2TDN,
242377,Auckland D-STAR DV,86,ZL1WOT,ZL1BFB,
242378,Auckland D-STAR DD,86,ZL1WOT,ZL1BFB,
270019,Christchurch,CARDS,,,
267477,Clime,63,ZL2BRG,ZL2TDN,

#DATA (AND VOICE) REPEATERS
101943,Kaikai Data,81,ZL1GWP,ZL3GR,
207725,Whangarei Data,28,ZL1TX,ZL1TOB,
215877,"Climie Data",63,"ZL2HM","ZL2BRG",
101946,Auckland Data,66,ZL1TGC,ZL1TND,Non Operational
270781,"Hawkins Hill Voice, Data & P25",74,"ZL3TC","ZL4JY",

#APRS BULLETIN BOARDS DIGIPEATERS & D-STAR
174404,Western Suburbs APRS,3,ZL1NE,ZL1RCA,
207909,"Whitford APRS",66,"ZL1WTT","ZL1VFO",
221036,"Taupo APRS",60,"ZL1BU","ZL1KU",
224331,"Te Kapua APRS",,"ZL2CC",,Privately Licenced
218006,"Hawkes Bay APRS",13,"ZL2AJ","ZL2DW",
221226,Manawatu  APRS,20,,,
220125,"Forest Lakes Road APRS",74,"ZL2SJ","ZL4SJ",
221323,Nelson Takaka APRS,26,ZL2BCA,ZL2RP,
